id,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,last_review,calculated_host_listings_count,availability_365
44572272,145952198,Sebastian,51.47108,-0.186,Entire home/apt,184.00 ,3,2021/7/26,19,354
44572608,8924853,Terrence,51.45221,-0.42256,Private room,25.00 ,1,2021/1/1,3,0
44575529,42862052,Michael,51.54423,-0.00055,Private room,40.00 ,2,2021/5/20,4,335
44575853,25539601,Ben,51.46668,0.01871,Private room,85.00 ,7,2020/10/23,2,71
44583034,136740460,Frances,51.61764,-0.21551,Entire home/apt,170.00 ,7,2021/7/16,2,219
44583180,105354656,Lesley,51.43453,-0.15676,Entire home/apt,86.00 ,7,2021/3/15,1,71
44583735,28820321,Veronica,51.41144,-0.04868,Entire home/apt,60.00 ,2,2021/3/31,248,0
44583875,360677215,Kingsland Locke,51.55061,-0.07415,Entire home/apt,150.00 ,1,2021/8/20,8,361
44583889,360677215,Kingsland Locke,51.54908,-0.07553,Entire home/apt,174.00 ,1,2021/8/17,8,361
44583927,360677215,Kingsland Locke,51.55122,-0.07432,Entire home/apt,206.00 ,1,2021/6/27,8,359
44583982,360677215,Kingsland Locke,51.55013,-0.07506,Entire home/apt,150.00 ,1,2021/5/3,8,361
44585175,112868447,Alexandra,51.51371,-0.18491,Entire home/apt,35.00 ,30,2020/12/17,29,42
44585426,4959939,Melissa,51.43318,-0.12665,Entire home/apt,110.00 ,2,2021/8/16,1,326
44585797,175458210,Nox Hotels |,51.49924,-0.20916,Private room,120.00 ,1,2021/7/4,12,350
44587132,33433857,Stayo,51.51343,-0.12836,Entire home/apt,175.00 ,1,2021/8/15,5,211
44587631,360842336,Anna,51.53695,0.02876,Private room,23.00 ,1,2021/9/3,3,42
44588587,33433857,Stayo,51.51345,-0.12855,Entire home/apt,215.00 ,1,2021/7/27,5,155
44589065,341074779,Edward,51.4387,-0.14923,Private room,53.00 ,1,2021/4/17,7,24
44589583,33433857,Stayo,51.51571,-0.12866,Entire home/apt,215.00 ,1,2021/7/17,5,215
44592809,86287888,Bee,51.60308,-0.10495,Private room,25.00 ,5,2021/6/27,7,0
44595021,153557059,KTMM Stay,51.50191,-0.02298,Entire home/apt,145.00 ,6,2021/8/17,4,85
44596537,98000122,Kristina,51.43705,-0.10539,Entire home/apt,63.00 ,2,2020/11/30,3,225
44596747,69420560,Mo,51.54405,-0.00057,Entire home/apt,174.00 ,1,2021/8/30,23,358
44598099,360949904,"The Hux Hotel, Kensington",51.50135,-0.18711,Private room,216.00 ,1,2021/5/9,5,351
44598895,7701687,Arcore,51.51385,-0.12487,Entire home/apt,200.00 ,2,2021/6/16,35,257
44600832,360949904,"The Hux Hotel, Kensington",51.50148,-0.18723,Private room,153.00 ,1,2021/9/1,5,356
44603649,153557059,KTMM Stay,51.51065,-0.0589,Entire home/apt,99.00 ,3,2021/7/12,4,2
44606398,402191311,GuestReady,51.49514,-0.10246,Entire home/apt,89.00 ,2,2021/8/15,131,227
44607489,361013155,David,51.54774,0.0086,Private room,29.00 ,2,2021/2/13,1,99
44607678,361014696,Mo,51.49824,-0.21144,Entire home/apt,40.00 ,2,2021/8/3,1,42
44608995,43891732,Ruth,51.51688,-0.08014,Entire home/apt,257.00 ,2,2020/10/3,14,65
44611744,93627264,Daniel,51.6055,-0.19917,Private room,35.00 ,2,2021/6/13,1,67
44613337,153557059,KTMM Stay,51.49786,-0.02031,Entire home/apt,125.00 ,2,2020/10/20,4,0
44614055,31984078,Bernadette,51.52888,-0.09587,Entire home/apt,115.00 ,3,2021/9/8,2,341
44616323,69420560,Mo,51.51312,0.00953,Entire home/apt,175.00 ,1,2021/8/30,23,351
44616330,360949904,"The Hux Hotel, Kensington",51.5013,-0.18855,Private room,114.00 ,1,2021/9/1,5,345
44616548,69420560,Mo,51.51272,0.01281,Entire home/apt,134.00 ,1,2021/8/29,23,341
44617977,357664609,Sean,51.42672,-0.10275,Entire home/apt,120.00 ,1,2021/9/5,1,361
44622900,24065991,Sanjay,51.54293,-0.12202,Private room,39.00 ,20,2020/10/23,1,68
44626200,240473406,Etsh,51.51101,-0.18305,Entire home/apt,92.00 ,2,2021/3/1,20,70
44626844,183919222,Siddique,51.54626,0.02183,Private room,22.00 ,7,2021/8/10,2,50
44630273,93214392,Mona,51.47775,0.04291,Entire home/apt,51.00 ,7,2021/3/10,1,205
44631147,163455861,Alex,51.5214,-0.05892,Private room,28.00 ,300,2021/8/5,7,36
44631301,361202796,Zarina,51.54064,0.10484,Entire home/apt,61.00 ,1,2021/8/15,1,349
44631744,71711599,David,51.48823,-0.09979,Private room,36.00 ,3,2021/9/10,4,66
